Name,Year
Only Lovers Left Alive,2014
The Diary of a Teenage Girl,2015
Tangerine,2015
20th Century Women,2016
American Honey,2016
After Hours,1985
Smooth Talk,1985
Trouble in Mind,1985
Blue Velvet,1986
Salvador,1986
Desert Hearts,1986
She's Gotta Have It,1986
The Whales of August,1987
Tough Guys Don't Dance,1987
Working Girls,1987
The Glass Menagerie,1987
Five Corners,1988
Hairspray,1988
The Wash,1988
Mystic Pizza,1988
Promised Land,1988
Mystery Train,1989
Drugstore Cowboy,1989
Heathers,1989
True Love,1989
Erin Brockovich,2000
The Contender,2000
Chocolat,2000
Requiem for a Dream,2000
You Can Count on Me,2000
Monster's Ball,2001
A Beautiful Mind,2001
Iris,2001
In the Bedroom,2001
Bridget Jones's Diary,2001
Chicago,2002
Frida,2002
The Hours,2002
Unfaithful,2002
Far from Heaven,2002
Monster,2003
The Station Agent,2003
Something's Gotta Give,2003
21 Grams,2003
Thirteen,2003
Million Dollar Baby,2004
Being Julia,2004
Maria Full of Grace,2004
Vera Drake,2004
Eternal Sunshine of the Spotless Mind,2004
Walk the Line,2005
Mrs Henderson Presents,2005
Transamerica,2005
North Country,2005
Memoirs of a Geisha,2005
The Queen,2006
Volver,2006
Notes on a Scandal,2006
The Devil Wears Prada,2006
Little Children,2006
Away from Her,2007
Elizabeth: The Golden Age,2007
La Vie en Rose (La môme),2007
A Mighty Heart,2007
Juno,2007
Doubt,2008
Rachel Getting Married,2008
Changeling,2008
Frozen River,2008
Revolutionary Road,2008
The Blind Side,2009
The Last Station,2009
An Education,2009
Precious,2009
Julie & Julia,2009
Black Swan,2010
The Kids Are All Right,2010
Rabbit Hole,2010
Winter's Bone,2010
Conviction,2010
The Help,2011
Albert Nobbs,2011
The Iron Lady,2011
We Need to Talk About Kevin,2011
My Week with Marilyn,2011
Silver Linings Playbook,2012
Zero Dark Thirty,2012
Rust and Bone (De rouille et d'os),2012
Hitchcock,2012
The Impossible,2012
Blue Jasmine,2013
Gravity,2013
Philomena,2013
August: Osage County,2013
Saving Mr. Banks,2013
Still Alice,2014
Cake,2014
The Theory of Everything,2014
Gone Girl,2014
Wild,2014
Room,2015
Carol,2015
Woman in Gold,2015
Brooklyn,2015
I Smile Back,2015
La La Land,2016
Arrival,2016
The Girl on the Train,2016
Jackie,2016
Florence Foster Jenkins,2016
Nell,1994
Blue Sky,1994
When a Man Loves a Woman,1994
The Client,1994
The River Wild,1994
Dead Man Walking,1995
Nixon,1995
Leaving Las Vegas,1995
The Bridges of Madison County,1995
Sense and Sensibility,1995
Fargo,1996
Secrets & Lies,1996
Marvin's Room,1996
Unhook the Stars,1996
The English Patient,1996
As Good as It Gets,1997
The Wings of the Dove,1997
Mrs Brown,1997
Jackie Brown,1997
Titanic,1997
She's So Lovely,1997
Shakespeare in Love,1998
Elizabeth,1998
Little Voice,1998
One True Thing,1998
Hilary and Jackie,1998
American Beauty,1999
Tumbleweeds,1999
The End of the Affair,1999
Music of the Heart,1999
Boys Don't Cry,1999
BUtterfield 8,1960
The Sundowners,1960
Breakfast at Tiffany's,1961
Long Day's Journey into Night,1962
Irma la Douce,1963
Mary Poppins,1964
Marriage Italian Style,1964
The Unsinkable Molly Brown,1964
The Sound of Music,1965
Morgan!,1966
The Graduate,1967
Funny Girl,1968
The Subject was Roses,1968
The Great White Hope,1970
Diary of a Mad Housewife,1970
McCabe and Mrs. Miller,1971
Nicholas and Alexandra,1971
Travels with My Aunt,1972
Claudine,1974
The Story of Adele H.,1975
Tommy,1975
Hester Street,1975
Cousin Cousine,1976
Carrie,1976
The Goodbye Girl,1977
"Same Time, Next Year",1978
Starting Over,1979
Chapter Two,1979
The Rose,1979
Coal Miner's Daughter,1980
Private Benjamin,1980
Only When I Laugh,1981
Atlantic City,1981
Victor Victoria,1982
A Passage to India,1984
Sweet Dreams,1985
The Morning After,1986
Crimes of the Heart,1986
Peggy Sue Got Married,1986
Moonstruck,1987
Broadcast News,1987
Ironweed,1987
Dangerous Liaisons,1988
Working Girl,1988
Driving Miss Daisy,1989
Camille Claudel,1989
Mr. and Mrs. Bridge,1990
Thelma and Louise,1991
For the Boys,1991
Indochine,1992
What's Love Got to Do with It,1993
Six Degrees of Separation,1993
Tom and Viv,1994
Little Women,1994
As Good as It Gets,1997
Moulin Rouge!,2001
Whale Rider,2003
Something's Gotta Give,2003
Being Julia,2004
Eternal Sunshine of the Spotless Mind,2004
Pride and Prejudice,2005
The Savages,2007
August: Osage County,2013
"Two Days, One Night",2014
Joy,2015
45 Years,2015
